"Year-Week","actual","seasonally adjusted","HW fitted","HW fitted level"
"2010 44","1280.72","1456.23619734188","1349.58233146637","1349.58233146637"
"2010 45","1267.71","1681.08610300225","1357.76618052106","1357.76618052106"
"2010 46","946.02","1264.37789545509","1382.57542133232","1382.57542133232"
"2010 47","1262.52","1588.89563130414","1373.50579499974","1373.50579499974"
"2010 48","1615.83","1598.54534828527","1390.03325880762","1390.03325880762"
"2010 49","806.22","1242.39789545509","1406.03297388924","1406.03297388924"
"2010 50","989.29","1384.59317847395","1393.47679722407","1393.47679722407"
"2010 51","1187.33","1425.5804426249","1392.79513234194","1392.79513234194"
"2010 52","1041.6","1125.51770677584","1395.31084078218","1395.31084078218"
"2010 53","630.94","1305.7554426249","1374.60885997189","1374.60885997189"
"2011 01","463.13","1237.79242375697","1369.32554492427","1369.32554492427"
"2011 02","950.1","1453.44327281358","1359.23264111354","1359.23264111354"
"2011 03","1437.38","1766.30949922867","1366.46168605111","1366.46168605111"
"2011 04","1305.28","1684.89883885131","1397.1431256879","1397.1431256879"
"2011 05","624.9","1044.38374451169","1419.22342537343","1419.22342537343"
